source_id	tier	category	path	decision	optimized_count	priority	study_stage	fs_level	fs_kind	primary_languages	language_priority	os_fit	covered_by	rationale
tahoe-lafs	adjacent	distributed-fs	sources/distributed-fs/tahoe-lafs	defer	no	P3	distributed-first	L3 distributed/parallel filesystem	distributed-fs	Python	Study the C/C++ data path before tests, bindings, and management glue.	linux-first		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
ipfs-kubo	adjacent	distributed-fs	sources/distributed-fs/ipfs-kubo	defer	no	P3	distributed-first	L3 distributed/parallel filesystem	distributed-fs	Go	Go core is worth studying after C/C++ distributed FS; useful for userspace metadata/control tradeoffs.	linux-first		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
minio	required	object-store	sources/object-store/minio	keep	yes	P1	distributed-first	L4 object-store adjacent	object-store-adjacent	Go	Go is acceptable for userspace distributed/object layers; compare after C/C++ FS data paths.	linux,macos,windows userspace		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
minio-mc	important	object-store	sources/object-store/minio-mc	dedup	no	P3-dedup	deduplicated	L4 object-store adjacent	object-store-adjacent	Go	Go is acceptable for userspace distributed/object layers; compare after C/C++ FS data paths.	linux,macos,windows-server/userspace	minio	Covered by minio; keep as reference but do not count in the optimized first pass.
openstack-swift	required	object-store	sources/object-store/openstack-swift	keep	yes	P1	distributed-first	L4 object-store adjacent	object-store-adjacent	Python	Python is acceptable for userspace distributed/object layers; compare after C/C++ FS data paths.	linux-first		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
apache-ozone	required	object-store	sources/object-store/apache-ozone	keep	yes	P1	distributed-first	L4 object-store adjacent	object-store-adjacent	Java	Java is acceptable for userspace distributed/object layers; compare after C/C++ FS data paths.	linux,macos,windows userspace		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
daos	required	object-store	sources/object-store/daos	keep	yes	P1	distributed-first	L4 object-store adjacent	object-store-adjacent	C,C++	Object-store substrate; study only where it explains distributed FS backend behavior.	linux,macos,windows-server/userspace		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
garage	important	object-store	sources/object-store/garage	keep	yes	P1	distributed-first	L4 object-store adjacent	object-store-adjacent	Rust	Rust is acceptable for userspace distributed/object layers; compare after C/C++ FS data paths.	linux,macos,windows userspace		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
rustfs	important	object-store	sources/object-store/rustfs	keep	yes	P1	distributed-first	L4 object-store adjacent	object-store-adjacent	Rust	Rust is acceptable for userspace distributed/object layers; compare after C/C++ FS data paths.	linux,macos,windows userspace		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
rook	important	control-plane	sources/control-plane/rook	support	no	P2	platform-support	L5 orchestration/control-plane	control-plane	Go	Go control plane/snapshotter code is secondary to filesystem data-path source.	linux/kubernetes		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
longhorn	important	control-plane	sources/control-plane/longhorn	defer	no	P3	platform-support	L5 orchestration/control-plane	control-plane	Go	Go control plane/snapshotter code is secondary to filesystem data-path source.	linux/kubernetes		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
ceph-csi	important	control-plane	sources/control-plane/ceph-csi	support	no	P2	platform-support	L5 orchestration/control-plane	control-plane	Go	Go control plane/snapshotter code is secondary to filesystem data-path source.	linux/kubernetes		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
beegfs-csi-driver	important	control-plane	sources/control-plane/beegfs-csi-driver	support	no	P2	platform-support	L5 orchestration/control-plane	control-plane	Go	Go control plane/snapshotter code is secondary to filesystem data-path source.	linux/kubernetes		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
juicefs-csi-driver	important	control-plane	sources/control-plane/juicefs-csi-driver	support	no	P2	platform-support	L5 orchestration/control-plane	control-plane	Go	Go control plane/snapshotter code is secondary to filesystem data-path source.	linux/kubernetes		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
csi-spec	important	control-plane	sources/control-plane/csi-spec	defer	no	P3	platform-support	L5 orchestration/control-plane	control-plane	Protocol Buffers,Go	Go control plane/snapshotter code is secondary to filesystem data-path source.	linux/kubernetes		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
mayastor	important	control-plane	sources/control-plane/mayastor	defer	no	P3	platform-support	L5 orchestration/control-plane	control-plane	Rust	Rust is useful for memory-safe userspace components; not the first stop for mature kernel FS internals.	linux/kubernetes		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
csi-driver-nfs	important	control-plane	sources/control-plane/csi-driver-nfs	defer	no	P3	platform-support	L5 orchestration/control-plane	control-plane	Go	Go control plane/snapshotter code is secondary to filesystem data-path source.	linux/kubernetes		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
csi-driver-smb	important	control-plane	sources/control-plane/csi-driver-smb	defer	no	P3	platform-support	L5 orchestration/control-plane	control-plane	Go	Go control plane/snapshotter code is secondary to filesystem data-path source.	linux/kubernetes		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
csi-driver-iscsi	important	control-plane	sources/control-plane/csi-driver-iscsi	defer	no	P3	platform-support	L5 orchestration/control-plane	control-plane	Go	Go control plane/snapshotter code is secondary to filesystem data-path source.	linux/kubernetes		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
longhorn-engine	important	control-plane	sources/control-plane/longhorn-engine	dedup	no	P3-dedup	deduplicated	L5 orchestration/control-plane	control-plane	Go	Go control plane/snapshotter code is secondary to filesystem data-path source.	linux/kubernetes	longhorn	Covered by longhorn; keep as reference but do not count in the optimized first pass.
csi-driver-host-path	adjacent	control-plane	sources/control-plane/csi-driver-host-path	defer	no	P3	platform-support	L5 orchestration/control-plane	control-plane	Go	Go control plane/snapshotter code is secondary to filesystem data-path source.	linux/kubernetes		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
external-snapshotter	adjacent	control-plane	sources/control-plane/external-snapshotter	defer	no	P3	platform-support	L5 orchestration/control-plane	control-plane	Go	Go control plane/snapshotter code is secondary to filesystem data-path source.	linux/kubernetes		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
csi-lib-utils	adjacent	control-plane	sources/control-plane/csi-lib-utils	defer	no	P3	platform-support	L5 orchestration/control-plane	control-plane	Go	Go control plane/snapshotter code is secondary to filesystem data-path source.	linux/kubernetes		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
fuse-overlayfs	required	cloud-native	sources/cloud-native/fuse-overlayfs	support	no	P2	platform-support	L4 image/container filesystem layer	image/container-fs	C	Study only after the core FS path is understood.	linux/container		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
overlayfs-tools	important	cloud-native	sources/cloud-native/overlayfs-tools	defer	no	P3	platform-support	L4 image/container filesystem layer	image/container-fs	C	Study only after the core FS path is understood.	linux/container		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
fuse-overlayfs-snapshotter	important	cloud-native	sources/cloud-native/fuse-overlayfs-snapshotter	dedup	no	P3-dedup	deduplicated	L4 image/container filesystem layer	image/container-fs	Go	Go control plane/snapshotter code is secondary to filesystem data-path source.	linux/container	fuse-overlayfs+containerd	Covered by fuse-overlayfs+containerd; keep as reference but do not count in the optimized first pass.
containers-storage	required	cloud-native	sources/cloud-native/containers-storage	support	no	P2	platform-support	L4 image/container filesystem layer	image/container-fs	Go	Go control plane/snapshotter code is secondary to filesystem data-path source.	linux/container		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
containerd	required	cloud-native	sources/cloud-native/containerd	support	no	P2	platform-support	L4 image/container filesystem layer	image/container-fs	Go	Go control plane/snapshotter code is secondary to filesystem data-path source.	linux/container		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
stargz-snapshotter	important	cloud-native	sources/cloud-native/stargz-snapshotter	support	no	P2	platform-support	L4 image/container filesystem layer	image/container-fs	Go	Go control plane/snapshotter code is secondary to filesystem data-path source.	linux/container		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
nydus	important	cloud-native	sources/cloud-native/nydus	support	no	P2	platform-support	L4 image/container filesystem layer	image/container-fs	Rust	Rust is useful for memory-safe userspace components; not the first stop for mature kernel FS internals.	linux/container		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
nydus-snapshotter	important	cloud-native	sources/cloud-native/nydus-snapshotter	dedup	no	P3-dedup	deduplicated	L4 image/container filesystem layer	image/container-fs	Go	Go control plane/snapshotter code is secondary to filesystem data-path source.	linux/container	nydus+containerd	Covered by nydus+containerd; keep as reference but do not count in the optimized first pass.
soci-snapshotter	important	cloud-native	sources/cloud-native/soci-snapshotter	defer	no	P3	platform-support	L4 image/container filesystem layer	image/container-fs	Go	Go control plane/snapshotter code is secondary to filesystem data-path source.	linux/container		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
composefs	important	cloud-native	sources/cloud-native/composefs	support	no	P2	platform-support	L4 image/container filesystem layer	image/container-fs	C	Study only after the core FS path is understood.	linux/container		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
composefs-rs	important	cloud-native	sources/cloud-native/composefs-rs	dedup	no	P3-dedup	deduplicated	L4 image/container filesystem layer	image/container-fs	Rust	Rust is useful for memory-safe userspace components; not the first stop for mature kernel FS internals.	linux/container	composefs	Covered by composefs; keep as reference but do not count in the optimized first pass.
moby	adjacent	cloud-native	sources/cloud-native/moby	defer	no	P3	platform-support	L4 image/container filesystem layer	image/container-fs	Go	Go control plane/snapshotter code is secondary to filesystem data-path source.	linux/container		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
buildkit	adjacent	cloud-native	sources/cloud-native/buildkit	defer	no	P3	platform-support	L4 image/container filesystem layer	image/container-fs	Go	Go control plane/snapshotter code is secondary to filesystem data-path source.	linux/container		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
cri-o	adjacent	cloud-native	sources/cloud-native/cri-o	defer	no	P3	platform-support	L4 image/container filesystem layer	image/container-fs	Go	Go control plane/snapshotter code is secondary to filesystem data-path source.	linux/container		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
overlaybd	adjacent	cloud-native	sources/cloud-native/overlaybd	defer	no	P3	platform-support	L4 image/container filesystem layer	image/container-fs	C++	Study only after the core FS path is understood.	linux/container		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
ostree	required	cloud-native	sources/cloud-native/ostree	defer	no	P3	platform-support	L4 image/container filesystem layer	image/container-fs	C	Study only after the core FS path is understood.	linux/container		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
qemu	required	virtualization	sources/virtualization/qemu	support	no	P2	platform-support	L4 virtual/block filesystem substrate	virtual/block-substrate	C	Study only after the core FS path is understood.	linux,macos,windows-host-via-ports		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
virtiofsd	important	virtualization	sources/virtualization/virtiofsd	support	no	P2	platform-support	L4 virtual/block filesystem substrate	virtual/block-substrate	Rust	Rust is useful for memory-safe userspace components; not the first stop for mature kernel FS internals.	linux,macos,windows-host-via-ports		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
spdk	required	virtualization	sources/virtualization/spdk	support	no	P2	platform-support	L4 virtual/block filesystem substrate	virtual/block-substrate	C	Study only after the core FS path is understood.	linux,macos,windows-host-via-ports		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
nbd	important	virtualization	sources/virtualization/nbd	support	no	P2	platform-support	L4 virtual/block filesystem substrate	virtual/block-substrate	C	Study only after the core FS path is understood.	linux,macos,windows-host-via-ports		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
nbdkit	important	virtualization	sources/virtualization/nbdkit	support	no	P2	platform-support	L4 virtual/block filesystem substrate	virtual/block-substrate	C	Study only after the core FS path is understood.	linux,macos,windows-host-via-ports		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
libnbd	important	virtualization	sources/virtualization/libnbd	support	no	P2	platform-support	L4 virtual/block filesystem substrate	virtual/block-substrate	C	Study only after the core FS path is understood.	linux,macos,windows-host-via-ports		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
open-iscsi	important	virtualization	sources/virtualization/open-iscsi	defer	no	P3	platform-support	L4 virtual/block filesystem substrate	virtual/block-substrate	C	Study only after the core FS path is understood.	linux,macos,windows-host-via-ports		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
libguestfs	important	virtualization	sources/virtualization/libguestfs	defer	no	P3	platform-support	L4 virtual/block filesystem substrate	virtual/block-substrate	OCaml,C	Study only after the core FS path is understood.	linux,macos,windows-host-via-ports		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
guestfs-tools	important	virtualization	sources/virtualization/guestfs-tools	dedup	no	P3-dedup	deduplicated	L4 virtual/block filesystem substrate	virtual/block-substrate	C,OCaml	Study only after the core FS path is understood.	linux,macos,windows-host-via-ports	libguestfs	Covered by libguestfs; keep as reference but do not count in the optimized first pass.
libblockdev	important	virtualization	sources/virtualization/libblockdev	defer	no	P3	platform-support	L4 virtual/block filesystem substrate	virtual/block-substrate	C	Study only after the core FS path is understood.	linux,macos,windows-host-via-ports		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
nvme-cli	important	virtualization	sources/virtualization/nvme-cli	defer	no	P3	platform-support	L4 virtual/block filesystem substrate	virtual/block-substrate	C	Study only after the core FS path is understood.	linux,macos,windows-host-via-ports		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
xfstests	required	test-tools	sources/test-tools/xfstests	keep	yes	P0	validation	L6 validation/benchmark/fuzzing	test-tool	Shell,C	Study only after the core FS path is understood.	linux-first		First-pass source: core OS/protocol/distributed FS path or mandatory validation gate.
xfstests-bld	important	test-tools	sources/test-tools/xfstests-bld	support	no	P2	validation	L6 validation/benchmark/fuzzing	test-tool	Shell,Python	Study only after the core FS path is understood.	linux-first		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
blktests	required	test-tools	sources/test-tools/blktests	keep	yes	P1	validation	L6 validation/benchmark/fuzzing	test-tool	Shell	Study only after the core FS path is understood.	linux-first		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
fio	required	test-tools	sources/test-tools/fio	keep	yes	P0	validation	L6 validation/benchmark/fuzzing	test-tool	C	Study only after the core FS path is understood.	linux-first		First-pass source: core OS/protocol/distributed FS path or mandatory validation gate.
ltp	required	test-tools	sources/test-tools/ltp	keep	yes	P0	validation	L6 validation/benchmark/fuzzing	test-tool	C,Shell	Study only after the core FS path is understood.	linux-first		First-pass source: core OS/protocol/distributed FS path or mandatory validation gate.
pjdfstest	important	test-tools	sources/test-tools/pjdfstest	keep	yes	P1	validation	L6 validation/benchmark/fuzzing	test-tool	Shell,C	Study only after the core FS path is understood.	linux-first		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
crashmonkey	important	test-tools	sources/test-tools/crashmonkey	support	no	P2	validation	L6 validation/benchmark/fuzzing	test-tool	C++	Study only after the core FS path is understood.	linux-first		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
filebench	important	test-tools	sources/test-tools/filebench	support	no	P2	validation	L6 validation/benchmark/fuzzing	test-tool	C	Study only after the core FS path is understood.	linux-first		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
fs-mark	important	test-tools	sources/test-tools/fs-mark	support	no	P2	validation	L6 validation/benchmark/fuzzing	test-tool	C	Study only after the core FS path is understood.	linux-first		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
ior	important	test-tools	sources/test-tools/ior	keep	yes	P1	validation	L6 validation/benchmark/fuzzing	test-tool	C	Study only after the core FS path is understood.	linux-first		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
unionmount-testsuite	important	test-tools	sources/test-tools/unionmount-testsuite	support	no	P2	validation	L6 validation/benchmark/fuzzing	test-tool	Shell	Study only after the core FS path is understood.	linux-first		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
pynfs	important	test-tools	sources/test-tools/pynfs	support	no	P2	validation	L6 validation/benchmark/fuzzing	test-tool	Python	Study only after the core FS path is understood.	linux-first		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
cthon04	important	test-tools	sources/test-tools/cthon04	support	no	P2	validation	L6 validation/benchmark/fuzzing	test-tool	C,Shell	Study only after the core FS path is understood.	linux-first		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
kdevops	important	test-tools	sources/test-tools/kdevops	support	no	P2	validation	L6 validation/benchmark/fuzzing	test-tool	Ansible,Shell,Python	Study only after the core FS path is understood.	linux-first		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
liburing	important	test-tools	sources/test-tools/liburing	support	no	P2	validation	L6 validation/benchmark/fuzzing	test-tool	C	Study only after the core FS path is understood.	linux-first		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
mtd-utils	important	local-fs	sources/local-fs/mtd-utils	support	no	P2	os-and-protocol-baseline	L1 local filesystem/tools	local-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
strace	important	test-tools	sources/test-tools/strace	support	no	P2	validation	L6 validation/benchmark/fuzzing	test-tool	C	Study only after the core FS path is understood.	linux-first		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
lcov	important	test-tools	sources/test-tools/lcov	defer	no	P3	validation	L6 validation/benchmark/fuzzing	test-tool	Perl	Study only after the core FS path is understood.	linux-first		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
stress-ng	important	test-tools	sources/test-tools/stress-ng	support	no	P2	validation	L6 validation/benchmark/fuzzing	test-tool	C	Study only after the core FS path is understood.	linux-first		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
iozone	important	test-tools	sources/test-tools/iozone	support	no	P2	validation	L6 validation/benchmark/fuzzing	test-tool	C	Study only after the core FS path is understood.	linux-first		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
fscrypt	required	security-integrity	sources/security-integrity/fscrypt	keep	yes	P1	semantics-support	L6 security/integrity semantics	security/integrity	Go	Go is useful for distributed service/control-plane code; avoid treating it as kernel/hot-path FS baseline.	linux		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
fsverity-utils	required	security-integrity	sources/security-integrity/fsverity-utils	keep	yes	P1	semantics-support	L6 security/integrity semantics	security/integrity	C	Study only after the core FS path is understood.	linux		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
ecryptfs-utils	important	security-integrity	sources/security-integrity/ecryptfs-utils	support	no	P2	later-comparison	L6 security/integrity semantics	security/integrity	C	Study only after the core FS path is understood.	linux		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
gocryptfs	important	security-integrity	sources/security-integrity/gocryptfs	support	no	P2	later-comparison	L6 security/integrity semantics	security/integrity	Go	Go is useful for distributed service/control-plane code; avoid treating it as kernel/hot-path FS baseline.	linux		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
cryfs	important	security-integrity	sources/security-integrity/cryfs	support	no	P2	later-comparison	L6 security/integrity semantics	security/integrity	C++	Study only after the core FS path is understood.	linux		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
encfs	important	security-integrity	sources/security-integrity/encfs	support	no	P2	later-comparison	L6 security/integrity semantics	security/integrity	C++	Study only after the core FS path is understood.	linux		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
ima-evm-utils	important	security-integrity	sources/security-integrity/ima-evm-utils	support	no	P2	later-comparison	L6 security/integrity semantics	security/integrity	C	Study only after the core FS path is understood.	linux		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
acl	important	security-integrity	sources/security-integrity/acl	support	no	P2	later-comparison	L6 security/integrity semantics	security/integrity	C	Study only after the core FS path is understood.	linux		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
attr	important	security-integrity	sources/security-integrity/attr	support	no	P2	later-comparison	L6 security/integrity semantics	security/integrity	C	Study only after the core FS path is understood.	linux		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
libcap	important	security-integrity	sources/security-integrity/libcap	support	no	P2	later-comparison	L6 security/integrity semantics	security/integrity	C	Study only after the core FS path is understood.	linux		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
keyutils	important	security-integrity	sources/security-integrity/keyutils	support	no	P2	later-comparison	L6 security/integrity semantics	security/integrity	C	Study only after the core FS path is understood.	linux		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
selinux	important	security-integrity	sources/security-integrity/selinux	support	no	P2	later-comparison	L6 security/integrity semantics	security/integrity	C	Study only after the core FS path is understood.	linux		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
audit-userspace	important	security-integrity	sources/security-integrity/audit-userspace	support	no	P2	later-comparison	L6 security/integrity semantics	security/integrity	C	Study only after the core FS path is understood.	linux		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
rsync	required	sync-backup	sources/sync-backup/rsync	support	no	P2	later-comparison	L6 sync/backup/versioned tree	sync/backup	C	Study only after the core FS path is understood.	linux,macos,windows		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
syncthing	required	sync-backup	sources/sync-backup/syncthing	support	no	P2	later-comparison	L6 sync/backup/versioned tree	sync/backup	Go	Go is useful for distributed service/control-plane code; avoid treating it as kernel/hot-path FS baseline.	linux,macos,windows		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
restic	important	sync-backup	sources/sync-backup/restic	support	no	P2	later-comparison	L6 sync/backup/versioned tree	sync/backup	Go	Go is useful for distributed service/control-plane code; avoid treating it as kernel/hot-path FS baseline.	linux,macos,windows		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
borg	important	sync-backup	sources/sync-backup/borg	support	no	P2	later-comparison	L6 sync/backup/versioned tree	sync/backup	Python,C	Study only after the core FS path is understood.	linux,macos,windows		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
kopia	important	sync-backup	sources/sync-backup/kopia	support	no	P2	later-comparison	L6 sync/backup/versioned tree	sync/backup	Go	Go is useful for distributed service/control-plane code; avoid treating it as kernel/hot-path FS baseline.	linux,macos,windows		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
git-annex	important	sync-backup	sources/sync-backup/git-annex	support	no	P2	later-comparison	L6 sync/backup/versioned tree	sync/backup	Haskell	Study only after the core FS path is understood.	linux,macos,windows		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
casync	important	sync-backup	sources/sync-backup/casync	defer	no	P3	later-comparison	L6 sync/backup/versioned tree	sync/backup	C	Study only after the core FS path is understood.	linux,macos,windows		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
unison	important	sync-backup	sources/sync-backup/unison	support	no	P2	later-comparison	L6 sync/backup/versioned tree	sync/backup	OCaml	Study only after the core FS path is understood.	linux,macos,windows		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
git-lfs	important	sync-backup	sources/sync-backup/git-lfs	defer	no	P3	later-comparison	L6 sync/backup/versioned tree	sync/backup	Go	Go is useful for distributed service/control-plane code; avoid treating it as kernel/hot-path FS baseline.	linux,macos,windows		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
git-crypt	important	sync-backup	sources/sync-backup/git-crypt	defer	no	P3	later-comparison	L6 sync/backup/versioned tree	sync/backup	C++	Study only after the core FS path is understood.	linux,macos,windows		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
bup	adjacent	sync-backup	sources/sync-backup/bup	defer	no	P3	later-comparison	L6 sync/backup/versioned tree	sync/backup	Python,C	Study only after the core FS path is understood.	linux,macos,windows		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
zstd	adjacent	compression	sources/compression/zstd	defer	no	P3	later-comparison	L6 compression primitive	compression	C	Study only after the core FS path is understood.	portable		Primitive dependency; defer until a filesystem path requires implementation-level compression study.
xz	adjacent	compression	sources/compression/xz	defer	no	P3	later-comparison	L6 compression primitive	compression	C	Study only after the core FS path is understood.	portable		Primitive dependency; defer until a filesystem path requires implementation-level compression study.
lz4	adjacent	compression	sources/compression/lz4	defer	no	P3	later-comparison	L6 compression primitive	compression	C	Study only after the core FS path is understood.	portable		Primitive dependency; defer until a filesystem path requires implementation-level compression study.
zlib	adjacent	compression	sources/compression/zlib	defer	no	P3	later-comparison	L6 compression primitive	compression	C	Study only after the core FS path is understood.	portable		Primitive dependency; defer until a filesystem path requires implementation-level compression study.
syzkaller	adjacent	test-tools	sources/test-tools/syzkaller	defer	no	P3	validation	L6 validation/benchmark/fuzzing	test-tool	Go	Go is useful for distributed service/control-plane code; avoid treating it as kernel/hot-path FS baseline.	linux-first		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
rocksdb	adjacent	storage-engines	sources/storage-engines/rocksdb	defer	no	P3	later-comparison	L6 storage-engine comparison	storage-engine	C++	Study only after the core FS path is understood.	portable		Storage-engine internals are useful comparison material but not filesystem/distributed-filesystem source.
leveldb	adjacent	storage-engines	sources/storage-engines/leveldb	defer	no	P3	later-comparison	L6 storage-engine comparison	storage-engine	C++	Study only after the core FS path is understood.	portable		Storage-engine internals are useful comparison material but not filesystem/distributed-filesystem source.
pebble	adjacent	storage-engines	sources/storage-engines/pebble	defer	no	P3	later-comparison	L6 storage-engine comparison	storage-engine	Go	Go is useful for distributed service/control-plane code; avoid treating it as kernel/hot-path FS baseline.	portable		Storage-engine internals are useful comparison material but not filesystem/distributed-filesystem source.
badger	adjacent	storage-engines	sources/storage-engines/badger	defer	no	P3	later-comparison	L6 storage-engine comparison	storage-engine	Go	Go is useful for distributed service/control-plane code; avoid treating it as kernel/hot-path FS baseline.	portable		Storage-engine internals are useful comparison material but not filesystem/distributed-filesystem source.
wiredtiger	adjacent	storage-engines	sources/storage-engines/wiredtiger	defer	no	P3	later-comparison	L6 storage-engine comparison	storage-engine	C	Study only after the core FS path is understood.	portable		Storage-engine internals are useful comparison material but not filesystem/distributed-filesystem source.
sqlite	adjacent	storage-engines	sources/storage-engines/sqlite	defer	no	P3	later-comparison	L6 storage-engine comparison	storage-engine	C	Study only after the core FS path is understood.	portable		Storage-engine internals are useful comparison material but not filesystem/distributed-filesystem source.
lmdb	adjacent	storage-engines	sources/storage-engines/lmdb	defer	no	P3	later-comparison	L6 storage-engine comparison	storage-engine	C	Study only after the core FS path is understood.	portable		Storage-engine internals are useful comparison material but not filesystem/distributed-filesystem source.
foundationdb	adjacent	storage-engines	sources/storage-engines/foundationdb	defer	no	P3	later-comparison	L6 storage-engine comparison	storage-engine	C++	Study only after the core FS path is understood.	portable		Storage-engine internals are useful comparison material but not filesystem/distributed-filesystem source.
tikv	adjacent	storage-engines	sources/storage-engines/tikv	defer	no	P3	later-comparison	L6 storage-engine comparison	storage-engine	Rust	Rust is useful for memory-safe userspace components; not the first stop for mature kernel FS internals.	portable		Storage-engine internals are useful comparison material but not filesystem/distributed-filesystem source.
raft-engine	adjacent	storage-engines	sources/storage-engines/raft-engine	defer	no	P3	later-comparison	L6 storage-engine comparison	storage-engine	Rust	Rust is useful for memory-safe userspace components; not the first stop for mature kernel FS internals.	portable		Storage-engine internals are useful comparison material but not filesystem/distributed-filesystem source.
xnu	important	os-vfs	sources/os/darwin/xnu	keep	yes	P1	os-and-protocol-baseline	L0 OS VFS/kernel	os-fs	C,C++	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	macos/darwin		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
